Player,EH_ID,API ID,Season,Team,Position,Shoots,Birthday,Age,Draft Yr,Draft Rd,Draft Ov,GP,EVO_GAR/60,EVD_GAR/60,PPO_GAR/60,SHD_GAR/60,Take_GAR/60,Draw_GAR/60,Off_GAR/60,Def_GAR/60,Pens_GAR/60,GAR/60,WAR/60,SPAR/60
A.J. Greer,A.J..GREER,8478421,16-17,COL,L,L,1996-12-14,19,2015,2,39,5,-0.491,0.578,-0.792,0.062,0.135,-0.125,-0.504,0.568,0.011,0.06,0.011,0.022
A.J. Greer,A.J..GREER,8478421,17-18,COL,L,L,1996-12-14,20,2015,2,39,17,-0.022,-0.301,-0.12,0,-0.122,0.047,-0.024,-0.301,-0.075,-0.392,-0.076,-0.146
A.J. Greer,A.J..GREER,8478421,18-19,COL,L,L,1996-12-14,21,2015,2,39,15,-0.539,-0.116,0,0,-0.317,-0.124,-0.539,-0.116,-0.442,-1.095,-0.204,-0.384
A.J. Greer,A.J..GREER,8478421,20-21,N.J,L,L,1996-12-14,23,2015,2,39,1,-0.079,-0.741,0,0,-1.372,-0.12,-0.079,-0.741,-1.492,-2.313,-0.415,-0.773
A.J. Greer,A.J..GREER,8478421,21-22,N.J,L,L,1996-12-14,24,2015,2,39,2,0.457,-0.223,0,0,0.134,2.468,0.457,-0.223,2.602,2.836,0.507,0.961
Aaron Downey,AARON.DOWNEY,8465992,07-08,DET,R,R,1974-08-27,33,1992,NA,NA,56,-0.141,-0.048,0.339,-0.966,-0.571,0.023,-0.138,-0.049,-0.548,-0.734,-0.133,-0.256
Aaron Downey,AARON.DOWNEY,8465992,08-09,DET,R,R,1974-08-27,34,1992,NA,NA,4,1.176,0.288,0,0,0.181,-0.184,1.176,0.288,-0.003,1.461,0.264,0.509
Aaron Ekblad,AARON.EKBLAD,8477932,14-15,FLA,D,R,1996-02-07,18,2014,1,1,81,0.222,0.23,0.326,-0.547,0.033,0.023,0.236,0.214,0.056,0.467,0.089,0.17
Aaron Ekblad,AARON.EKBLAD,8477932,15-16,FLA,D,R,1996-02-07,19,2014,1,1,78,0.181,0.13,0.056,0.262,0.034,-0.022,0.164,0.135,0.011,0.28,0.054,0.104
Aaron Ekblad,AARON.EKBLAD,8477932,16-17,FLA,D,R,1996-02-07,20,2014,1,1,68,-0.311,0.027,0.275,0.787,-0.003,0.006,-0.231,0.059,0.003,-0.166,-0.031,-0.06
Aaron Ekblad,AARON.EKBLAD,8477932,17-18,FLA,D,R,1996-02-07,21,2014,1,1,82,0.204,-0.149,0.895,-0.547,-0.036,-0.025,0.276,-0.192,-0.061,0.011,0.002,0.004
Aaron Ekblad,AARON.EKBLAD,8477932,18-19,FLA,D,R,1996-02-07,22,2014,1,1,82,0.44,0.06,0.789,0.68,-0.016,0.021,0.469,0.126,0.005,0.53,0.099,0.186
Aaron Ekblad,AARON.EKBLAD,8477932,19-20,FLA,D,R,1996-02-07,23,2014,1,1,67,0.465,0.037,1.21,-1.08,0.034,0.017,0.517,-0.07,0.051,0.446,0.079,0.152
Aaron Ekblad,AARON.EKBLAD,8477932,20-21,FLA,D,R,1996-02-07,24,2014,1,1,35,-0.138,0.115,1.35,-0.185,-0.021,0.028,0.121,0.079,0.008,0.177,0.032,0.059
Aaron Ekblad,AARON.EKBLAD,8477932,21-22,FLA,D,R,1996-02-07,25,2014,1,1,52,0.571,0.154,0.674,0.314,0.054,-0.019,0.588,0.174,0.035,0.686,0.123,0.232
Aaron Gagnon,AARON.GAGNON,8471451,09-10,DAL,C,R,1986-04-24,23,2004,8,240,2,-0.15,0.398,0,-0.754,0.165,-0.162,-0.15,0.233,0.003,0.108,0.02,0.038
Aaron Gagnon,AARON.GAGNON,8471451,10-11,DAL,C,R,1986-04-24,24,2004,8,240,19,-0.126,-0.058,-0.246,-0.47,0.16,-0.154,-0.128,-0.077,0.006,-0.19,-0.034,-0.065
Aaron Gagnon,AARON.GAGNON,8471451,11-12,WPG,C,R,1986-04-24,25,2004,8,240,7,-1.334,0.33,0,-0.674,0.155,-0.137,-1.334,0.324,0.018,-0.982,-0.171,-0.318
Aaron Gagnon,AARON.GAGNON,8471451,12-13,WPG,C,R,1986-04-24,26,2004,8,240,10,1.76,0.041,-0.526,0.077,-0.008,-0.011,1.704,0.044,-0.019,1.593,0.296,0.548
Aaron Johnson,AARON.JOHNSON,8469534,07-08,NYI,D,L,1983-04-30,24,2001,3,85,30,0.563,-0.239,0.386,1.202,-0.224,0.017,0.538,-0.173,-0.207,0.159,0.029,0.055
Aaron Johnson,AARON.JOHNSON,8469534,08-09,CHI,D,L,1983-04-30,25,2001,3,85,38,0.661,0.143,-1.415,-0.881,-0.119,0.005,0.606,0.023,-0.114,0.442,0.08,0.154
Aaron Johnson,AARON.JOHNSON,8469534,09-10,CGY/EDM,D,L,1983-04-30,26,2001,3,85,41,0.205,-0.193,-0.785,0.276,-0.074,0.055,0.142,-0.159,-0.02,-0.037,-0.007,-0.013
Aaron Johnson,AARON.JOHNSON,8469534,11-12,CBJ,D,L,1983-04-30,28,2001,3,85,56,0.155,0.023,1.292,0.723,0.014,0.053,0.22,0.083,0.066,0.344,0.06,0.111
Aaron Johnson,AARON.JOHNSON,8469534,12-13,BOS,D,L,1983-04-30,29,2001,3,85,10,-0.259,0.186,0.003,0.657,-0.225,0.007,-0.259,0.216,-0.218,-0.244,-0.045,-0.084
Aaron MacKenzie,AARON.MACKENZIE,8471004,08-09,COL,D,L,1981-03-07,27,1999,NA,NA,5,-0.386,1.334,0,-0.845,0.176,0.08,-0.386,1.123,0.256,1.03,0.186,0.359
Aaron Miller,AARON.MILLER,8457384,07-08,VAN,D,R,1971-08-11,36,1989,5,88,57,0.112,0.279,-0.694,0.265,0.049,-0.034,0.103,0.277,0.015,0.375,0.068,0.131
Aaron Ness,AARON.NESS,8474604,11-12,NYI,D,L,1990-05-18,21,2008,2,40,9,-0.376,0.223,0.299,-0.317,0.058,-0.068,-0.373,0.215,-0.01,-0.163,-0.028,-0.053
Aaron Ness,AARON.NESS,8474604,13-14,NYI,D,L,1990-05-18,23,2008,2,40,20,-0.841,0.031,-0.497,2.041,-0.069,0.002,-0.834,0.134,-0.066,-0.723,-0.137,-0.256
Aaron Ness,AARON.NESS,8474604,15-16,WSH,D,L,1990-05-18,25,2008,2,40,8,1.03,-0.41,0.53,0.422,0.019,0.054,1.029,-0.4,0.072,0.688,0.133,0.255
Aaron Ness,AARON.NESS,8474604,16-17,WSH,D,L,1990-05-18,26,2008,2,40,2,-0.562,-0.061,0,0,0.128,-0.061,-0.562,-0.061,0.068,-0.555,-0.104,-0.202
Aaron Ness,AARON.NESS,8474604,17-18,WSH,D,L,1990-05-18,27,2008,2,40,8,0.928,-0.055,0,0.147,-0.29,0.053,0.928,-0.042,-0.238,0.584,0.114,0.218
