"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI_All","TOI_EV","TOI_PP","TOI_SH","EVO_GAR","EVD_GAR","PPO_GAR","SHD_GAR","Take_GAR","Draw_GAR","Off_GAR","Def_GAR","Pens_GAR","GAR","WAR","SPAR"
"A.J. Greer","A.J..GREER","8478421","16-17","COL","L","L",1996-12-14,19,2015,2,39,5,68.3,63.8,2.9,1.3,-0.5,0.6,0,0,0.2,-0.1,-0.6,0.6,0,0.1,0,0
"A.J. Greer","A.J..GREER","8478421","17-18","COL","L","L",1996-12-14,20,2015,2,39,17,125.7,122.3,2.8,0,0,-0.6,0,0,-0.3,0.1,-0.1,-0.6,-0.2,-0.8,-0.2,-0.3
"A.J. Greer","A.J..GREER","8478421","18-19","COL","L","L",1996-12-14,21,2015,2,39,15,94,93.8,0,0,-0.8,-0.2,0,0,-0.5,-0.2,-0.8,-0.2,-0.7,-1.7,-0.3,-0.6
"A.J. Greer","A.J..GREER","8478421","20-21","N.J","L","L",1996-12-14,23,2015,2,39,1,8.6,8.6,0,0,0,-0.1,0,0,-0.2,0,0,-0.1,-0.2,-0.3,-0.1,-0.1
"A.J. Greer","A.J..GREER","8478421","21-22","N.J","L","L",1996-12-14,24,2015,2,39,2,17,17,0,0,0.1,-0.1,0,0,0,0.7,0.1,-0.1,0.7,0.8,0.1,0.3
"Aaron Downey","AARON.DOWNEY","8465992","07-08","DET","R","R",1974-08-27,33,1992,NA,NA,56,256.9,254.6,1.5,0.4,-0.6,-0.2,0,0,-2.4,0.1,-0.6,-0.2,-2.3,-3.1,-0.6,-1.1
"Aaron Downey","AARON.DOWNEY","8465992","08-09","DET","R","R",1974-08-27,34,1992,NA,NA,4,20.8,20.8,0,0,0.4,0.1,0,0,0.1,-0.1,0.4,0.1,0,0.5,0.1,0.2
"Aaron Ekblad","AARON.EKBLAD","8477932","14-15","FLA","D","R",1996-02-07,18,2014,1,1,81,1766.6,1485.7,221.4,31.5,5.5,5.7,1.2,-0.3,1,0.7,6.7,5.4,1.6,13.8,2.6,5
"Aaron Ekblad","AARON.EKBLAD","8477932","15-16","FLA","D","R",1996-02-07,19,2014,1,1,78,1690.8,1378.1,218.3,55.1,4.2,3,0.2,0.2,0.9,-0.6,4.4,3.2,0.3,7.9,1.5,2.9
"Aaron Ekblad","AARON.EKBLAD","8477932","16-17","FLA","D","R",1996-02-07,20,2014,1,1,68,1459.3,1194.7,187.3,52.9,-6.2,0.5,0.9,0.7,-0.1,0.1,-5.3,1.2,0.1,-4,-0.8,-1.5
"Aaron Ekblad","AARON.EKBLAD","8477932","17-18","FLA","D","R",1996-02-07,21,2014,1,1,82,1917.9,1500,173.4,181.2,5.1,-3.7,2.6,-1.7,-1.2,-0.8,7.7,-5.4,-2,0.3,0.1,0.1
"Aaron Ekblad","AARON.EKBLAD","8477932","18-19","FLA","D","R",1996-02-07,22,2014,1,1,82,1938.8,1562.7,138,187.6,11.5,1.6,1.8,2.1,-0.5,0.7,13.3,3.7,0.2,17.1,3.2,6
"Aaron Ekblad","AARON.EKBLAD","8477932","19-20","FLA","D","R",1996-02-07,23,2014,1,1,67,1537.9,1268.3,95.9,134.9,9.8,0.8,1.9,-2.4,0.9,0.4,11.8,-1.6,1.3,11.4,2,3.9
"Aaron Ekblad","AARON.EKBLAD","8477932","20-21","FLA","D","R",1996-02-07,24,2014,1,1,35,878.2,630.1,132.8,86.5,-1.4,1.2,3,-0.3,-0.3,0.4,1.5,0.9,0.1,2.6,0.5,0.9
"Aaron Ekblad","AARON.EKBLAD","8477932","21-22","FLA","D","R",1996-02-07,25,2014,1,1,52,1317.6,949.1,188.3,138.3,9,2.4,2.1,0.7,1.2,-0.4,11.1,3.2,0.8,15.1,2.7,5.1
"Aaron Gagnon","AARON.GAGNON","8471451","09-10","DAL","C","R",1986-04-24,23,2004,8,240,2,17.6,15.1,0,2.5,0,0.1,0,0,0,0,0,0.1,0,0,0,0
"Aaron Gagnon","AARON.GAGNON","8471451","10-11","DAL","C","R",1986-04-24,24,2004,8,240,19,153.2,143,2.1,6.8,-0.3,-0.1,0,-0.1,0.4,-0.4,-0.3,-0.2,0,-0.5,-0.1,-0.2
"Aaron Gagnon","AARON.GAGNON","8471451","11-12","WPG","C","R",1986-04-24,25,2004,8,240,7,66.1,65.7,0,0.4,-1.5,0.4,0,0,0.2,-0.2,-1.5,0.4,0,-1.1,-0.2,-0.4
"Aaron Gagnon","AARON.GAGNON","8471451","12-13","WPG","C","R",1986-04-24,26,2004,8,240,10,81.5,73.3,1.9,5.8,2.1,0.1,0,0,0,0,2.1,0.1,0,2.2,0.4,0.7
"Aaron Johnson","AARON.JOHNSON","8469534","07-08","NYI","D","L",1983-04-30,24,2001,3,85,30,415.9,342.2,55.2,16.5,3.2,-1.4,0.4,0.3,-1.6,0.1,3.6,-1,-1.4,1.1,0.2,0.4
"Aaron Johnson","AARON.JOHNSON","8469534","08-09","CHI","D","L",1983-04-30,25,2001,3,85,38,537.4,460.5,12.7,60.9,5.1,1.1,-0.3,-0.9,-1.1,0,4.8,0.2,-1,4,0.7,1.4
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","CGY/EDM","D","L",1983-04-30,26,2001,3,85,41,641.6,554.3,37.9,44.1,1.9,-1.8,-0.5,0.2,-0.8,0.6,1.4,-1.6,-0.2,-0.4,-0.1,-0.1
"Aaron Johnson","AARON.JOHNSON","8469534","11-12","CBJ","D","L",1983-04-30,28,2001,3,85,56,924.4,793.1,47.4,74.8,2.1,0.3,1,0.9,0.2,0.8,3.1,1.2,1,5.3,0.9,1.7
"Aaron Johnson","AARON.JOHNSON","8469534","12-13","BOS","D","L",1983-04-30,29,2001,3,85,10,148.7,138.4,0.1,9.5,-0.6,0.4,0,0.1,-0.6,0,-0.6,0.5,-0.5,-0.6,-0.1,-0.2
"Aaron MacKenzie","AARON.MACKENZIE","8471004","08-09","COL","D","L",1981-03-07,27,1999,NA,NA,5,73.2,66.1,0,7.1,-0.4,1.5,0,-0.1,0.2,0.1,-0.4,1.4,0.3,1.3,0.2,0.4
"Aaron Miller","AARON.MILLER","8457384","07-08","VAN","D","R",1971-08-11,36,1989,5,88,57,988.2,828.2,9.5,142.8,1.6,3.9,-0.1,0.6,0.8,-0.6,1.4,4.5,0.3,6.2,1.1,2.1
"Aaron Ness","AARON.NESS","8474604","11-12","NYI","D","L",1990-05-18,21,2008,2,40,9,152.4,149.2,0.6,2.4,-0.9,0.6,0,0,0.1,-0.2,-0.9,0.5,0,-0.4,-0.1,-0.1
"Aaron Ness","AARON.NESS","8474604","13-14","NYI","D","L",1990-05-18,23,2008,2,40,20,295.9,273,6,14.7,-3.8,0.1,0,0.5,-0.3,0,-3.9,0.6,-0.3,-3.6,-0.7,-1.3
"Aaron Ness","AARON.NESS","8474604","15-16","WSH","D","L",1990-05-18,25,2008,2,40,8,99.1,97.3,0.1,1.2,1.7,-0.7,0,0,0,0.1,1.7,-0.7,0.1,1.1,0.2,0.4
"Aaron Ness","AARON.NESS","8474604","16-17","WSH","D","L",1990-05-18,26,2008,2,40,2,25.7,25.7,0,0,-0.2,0,0,0,0.1,0,-0.2,0,0,-0.2,0,-0.1
"Aaron Ness","AARON.NESS","8474604","17-18","WSH","D","L",1990-05-18,27,2008,2,40,8,101.8,94.7,0,6.5,1.5,-0.1,0,0,-0.5,0.1,1.5,-0.1,-0.4,1,0.2,0.4
"Aaron Ness","AARON.NESS","8474604","19-20","ARI","D","L",1990-05-18,29,2008,2,40,24,300.8,292.6,0.8,4.4,1.5,0.9,0,0,0.6,0.6,1.5,0.9,1.3,3.7,0.7,1.3
"Aaron Ness","AARON.NESS","8474604","20-21","ARI","D","L",1990-05-18,30,2008,2,40,1,12.8,12.8,0,0,-0.1,0,0,0,0,0,-0.1,0,0,-0.1,0,0
"Aaron Palushaj","AARON.PALUSHAJ","8474030","10-11","MTL","R","R",1989-09-07,21,2007,2,44,3,25.6,23.8,1.6,0,0.2,-0.2,0,0,-0.1,0.1,0.2,-0.2,0,0.1,0,0
"Aaron Palushaj","AARON.PALUSHAJ","8474030","11-12","MTL","R","R",1989-09-07,22,2007,2,44,38,287.5,282.7,1.6,0.9,0.6,0.6,0,0,0,1.4,0.6,0.6,1.5,2.7,0.5,0.9
"Aaron Palushaj","AARON.PALUSHAJ","8474030","12-13","COL","R","R",1989-09-07,23,2007,2,44,25,282.9,263.1,18.6,0,3.1,0.3,0,0,0,1,3.1,0.3,1,4.3,0.8,1.5
"Aaron Palushaj","AARON.PALUSHAJ","8474030","13-14","CAR","R","R",1989-09-07,24,2007,2,44,2,18.6,17.5,0.5,0.6,-0.1,0,0,0,0,0,-0.1,0,0,0,0,0
"Aaron Rome","AARON.ROME","8470310","07-08","CBJ","D","L",1983-09-27,23,2002,4,104,17,309,259.8,20.1,28,-1.3,0.4,-0.7,0.3,0.6,-0.2,-2,0.8,0.3,-0.9,-0.2,-0.3
"Aaron Rome","AARON.ROME","8470310","08-09","CBJ","D","L",1983-09-27,24,2002,4,104,8,123.7,113.3,5.9,3.6,0,1.1,-0.1,0,0.4,-0.2,-0.1,1.2,0.2,1.2,0.2,0.4
"Aaron Rome","AARON.ROME","8470310","09-10","VAN","D","L",1983-09-27,25,2002,4,104,49,743.8,678.5,19.6,43.7,-2.9,-0.8,-0.4,0.7,0.6,-0.3,-3.3,-0.1,0.3,-3.1,-0.6,-1.1
"Aaron Rome","AARON.ROME","8470310","10-11","VAN","D","L",1983-09-27,26,2002,4,104,56,975,846.1,22.9,99.3,-1.5,-0.7,1.4,0.2,-0.6,-0.7,-0.1,-0.5,-1.3,-2,-0.3,-0.7
"Aaron Rome","AARON.ROME","8470310","11-12","VAN","D","L",1983-09-27,27,2002,4,104,43,654.7,598.7,23.1,29.7,-4.3,1.2,1.1,-0.4,-0.6,0,-3.2,0.8,-0.6,-2.9,-0.5,-1
"Aaron Rome","AARON.ROME","8470310","12-13","DAL","D","L",1983-09-27,28,2002,4,104,27,414,366.1,2.4,42,-0.2,-0.1,0,-1.2,-0.1,0.1,-0.2,-1.3,0.1,-1.4,-0.3,-0.5
"Aaron Rome","AARON.ROME","8470310","13-14","DAL","D","L",1983-09-27,29,2002,4,104,25,327.2,299.9,1.3,24.5,0.2,-0.3,0,-0.7,0.4,-0.2,0.2,-1,0.2,-0.6,-0.1,-0.2
"Aaron Volpatti","AARON.VOLPATTI","8475619","10-11","VAN","L","L",1985-05-30,25,2003,NA,NA,15,102.5,97.3,5,0,-0.7,0.1,0.1,0,-0.1,-0.3,-0.5,0.1,-0.4,-0.8,-0.1,-0.3
"Aaron Volpatti","AARON.VOLPATTI","8475619","11-12","VAN","L","L",1985-05-30,26,2003,NA,NA,23,206.3,202.9,1.9,0.5,-0.3,1.2,0,0,-0.6,0,-0.3,1.2,-0.5,0.3,0.1,0.1
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","VAN/WSH","L","L",1985-05-30,27,2003,NA,NA,33,275.1,271.1,3.8,0.1,-1.5,0.8,0,0,-0.2,-0.1,-1.5,0.8,-0.3,-1,-0.2,-0.3
"Aaron Volpatti","AARON.VOLPATTI","8475619","13-14","WSH","L","L",1985-05-30,28,2003,NA,NA,41,301.9,299.5,0.8,0.2,-2.9,-0.5,0,0,-0.3,-0.3,-2.9,-0.5,-0.6,-3.9,-0.7,-1.4
"Aaron Volpatti","AARON.VOLPATTI","8475619","14-15","WSH","L","L",1985-05-30,29,2003,NA,NA,2,19.2,19.2,0,0,-0.1,0.1,0,0,0,0.2,-0.1,0.1,0.2,0.2,0,0.1
"Aaron Voros","AARON.VOROS","8469672","07-08","MIN","L","L",1981-07-02,26,2001,8,229,55,504.6,422.6,74.6,0.1,2.2,-1.4,0.3,0,-1.8,0.2,2.5,-1.4,-1.6,-0.5,-0.1,-0.2
"Aaron Voros","AARON.VOROS","8469672","08-09","NYR","L","L",1981-07-02,27,2001,8,229,54,603.6,511.9,84.2,0.7,2.3,-4.2,-2,0,-2.2,1.1,0.3,-4.2,-1.1,-5,-0.9,-1.7
"Aaron Voros","AARON.VOROS","8469672","09-10","NYR","L","L",1981-07-02,28,2001,8,229,41,251.8,249.2,2,0.2,0.6,-0.8,0,0,-1,-0.1,0.7,-0.8,-1.1,-1.3,-0.2,-0.4
"Aaron Voros","AARON.VOROS","8469672","10-11","ANA","L","L",1981-07-02,29,2001,8,229,12,66.6,66.3,0,0,-0.2,0,0,0,-0.6,0.5,-0.2,0,0,-0.2,0,-0.1
"Aaron Ward","AARON.WARD","8458519","07-08","BOS","D","R",1973-01-17,34,1991,1,5,64,1325.8,1051.5,106.3,153.8,3.4,0.2,0.4,-1.4,-0.1,-0.4,3.7,-1.2,-0.5,2,0.4,0.7
"Aaron Ward","AARON.WARD","8458519","08-09","BOS","D","R",1973-01-17,35,1991,1,5,64,1214.9,1034.5,19.8,142.9,-1.6,2.9,-0.6,0.1,-0.3,-0.7,-2.2,3,-1,-0.1,0,0
"Aaron Ward","AARON.WARD","8458519","09-10","ANA/CAR","D","R",1973-01-17,36,1991,1,5,76,1308,1119.3,16.8,165.6,-1.2,-4.7,0,-1.4,-1.6,-0.1,-1.2,-6.1,-1.7,-9,-1.6,-3.1
"Adam Almquist","ADAM.ALMQUIST","8475332","13-14","DET","D","L",1991-02-27,22,2009,7,209,2,34.4,31.5,1.6,0.4,0.3,-0.2,0,0,0.1,0,0.3,-0.2,0,0.1,0,0
"Adam Beckman","ADAM.BECKMAN","8481550","21-22","MIN","L","L",2001-05-10,20,2019,3,75,3,31.2,27,2.3,0.1,-0.2,-0.1,0,0,-0.3,-0.1,-0.1,-0.1,-0.4,-0.6,-0.1,-0.2
"Adam Berti","ADAM.BERTI","8471281","07-08","CHI","L","L",1986-07-01,21,2004,3,68,2,20.2,19.9,0.4,0,0,0.1,0,0,0.1,-0.1,0,0.1,0,0,0,0
"Adam Boqvist","ADAM.BOQVIST","8480871","19-20","CHI","D","R",2000-08-15,19,2018,1,8,41,665.1,564,87,0.7,5.2,-1.6,-0.3,0,0.9,0.8,4.9,-1.6,1.6,5,0.9,1.7
