"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","G/60","A1/60","A2/60","Points/60","iSF/60","iFF/60","iCF/60","ixG/60","Sh%","FSh%","xFSh%","iBLK/60","GIVE/60","TAKE/60","iHF/60","iHA/60","iPENT2/60","iPEND2/60","iPENT5/60","iPEND5/60","iPEN±/60","FOW/60","FOL/60","FO±/60"
"A.J. Greer","A.J..GREER","8478421","16-17","COL","L","L",1996-12-14,19,2015,2,39,5,68.28,0,0,0.88,0.88,7.03,8.79,9.67,0.9,0,0,10.2,2.64,1.76,0.88,3.51,5.27,1.76,1.76,0,0,0,0,0,0
"A.J. Greer","A.J..GREER","8478421","17-18","COL","L","L",1996-12-14,20,2015,2,39,17,125.68,0,0.95,0.48,1.43,6.21,7.16,9.55,0.32,0,0,4.4,2.39,0.95,1.43,14.32,7.64,3.82,2.39,0.48,0.48,-1.43,0.48,0.95,-0.48
"A.J. Greer","A.J..GREER","8478421","18-19","COL","L","L",1996-12-14,21,2015,2,39,15,94.02,0.64,0.64,0,1.28,5.74,7.02,8.93,0.8,11.11,9.09,11.45,3.19,0.64,2.55,12.76,12.76,4.47,1.28,0,0,-3.19,1.28,1.91,-0.64
"A.J. Greer","A.J..GREER","8478421","20-21","N.J","L","L",1996-12-14,23,2015,2,39,1,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02,7.02,0,7.02,7.02,-7.02,0,0,0
"A.J. Greer","A.J..GREER","8478421","21-22","N.J","L","L",1996-12-14,24,2015,2,39,2,17.05,0,0,0,0,7.04,7.04,10.56,0.77,0,0,11,0,0,0,10.56,7.04,0,14.08,0,0,14.08,0,3.52,-3.52
"Aaron Downey","AARON.DOWNEY","8465992","07-08","DET","R","R",1974-08-27,33,1992,NA,NA,56,256.93,0,0.7,0,0.7,3.5,4.44,5.14,0.4,0,0,9.05,1.4,0.93,0.7,18.45,11.21,5.37,2.57,2.34,2.34,-2.8,0,0,0
"Aaron Downey","AARON.DOWNEY","8465992","08-09","DET","R","R",1974-08-27,34,1992,NA,NA,4,20.83,2.88,0,2.88,5.76,5.76,5.76,5.76,0.35,50,50,6,2.88,5.76,0,31.69,11.52,2.88,2.88,2.88,2.88,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","14-15","FLA","D","R",1996-02-07,18,2014,1,1,81,1766.62,0.41,0.34,0.58,1.32,5.77,8.08,11.92,0.3,7.06,5.04,3.77,2.72,1.39,0.88,3.7,4.62,0.54,0.51,0,0,-0.03,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","15-16","FLA","D","R",1996-02-07,19,2014,1,1,78,1690.82,0.53,0.28,0.46,1.28,6.46,8.52,11.5,0.36,8.24,6.25,4.25,2.09,1.45,0.85,3.09,4.47,0.67,0.28,0.04,0.04,-0.39,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","16-17","FLA","D","R",1996-02-07,20,2014,1,1,68,1459.28,0.41,0.16,0.29,0.86,9.25,12.17,16.78,0.49,4.44,3.38,4.06,2.55,2.38,1.03,3.62,3.45,1.19,0.7,0,0,-0.49,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","17-18","FLA","D","R",1996-02-07,21,2014,1,1,82,1917.9,0.5,0.19,0.5,1.19,5.91,8.85,12.48,0.39,8.47,5.65,4.45,3.79,3.1,1.25,2.16,2.25,0.91,0.28,0.09,0.09,-0.63,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","18-19","FLA","D","R",1996-02-07,22,2014,1,1,82,1938.82,0.4,0.25,0.5,1.15,5.57,7.12,9.75,0.29,7.22,5.65,4.05,2.72,3.78,1.45,3.53,3.56,0.65,0.46,0.03,0.03,-0.19,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","19-20","FLA","D","R",1996-02-07,23,2014,1,1,67,1537.92,0.2,0.9,0.51,1.6,5.74,7.3,10.34,0.26,3.4,2.67,3.6,3.28,2.89,1.44,1.33,2.18,0.55,0.39,0,0,-0.16,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","20-21","FLA","D","R",1996-02-07,24,2014,1,1,35,878.18,0.75,0.34,0.41,1.5,6.9,9.84,13.19,0.47,10.89,7.64,4.73,1.84,1.5,0.75,1.64,3.14,0.96,0.55,0.07,0.07,-0.41,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","21-22","FLA","D","R",1996-02-07,25,2014,1,1,52,1317.57,0.64,0.55,1.05,2.23,7.2,9.34,12.52,0.39,8.86,6.83,4.18,2.64,3.1,1.73,2.5,2.19,0.55,0.36,0,0,-0.18,0,0,0
"Aaron Gagnon","AARON.GAGNON","8471451","09-10","DAL","C","R",1986-04-24,23,2004,8,240,2,17.63,0,0,0,0,6.81,13.61,13.61,0.95,0,0,7,3.4,0,6.81,13.61,3.4,0,0,0,0,0,27.23,10.21,17.02
"Aaron Gagnon","AARON.GAGNON","8471451","10-11","DAL","C","R",1986-04-24,24,2004,8,240,19,153.2,0,0,0.78,0.78,3.52,7.44,10.18,0.35,0,0,4.68,1.96,0,1.57,4.7,4.31,0,0,0,0,0,11.75,9.79,1.96
"Aaron Gagnon","AARON.GAGNON","8471451","11-12","WPG","C","R",1986-04-24,25,2004,8,240,7,66.13,0,0,0,0,5.44,8.17,10.89,0.58,0,0,7.11,3.63,0,0.91,0.91,6.35,0,0,0,0,0,16.33,19.96,-3.63
"Aaron Gagnon","AARON.GAGNON","8471451","12-13","WPG","C","R",1986-04-24,26,2004,8,240,10,81.53,2.21,0,0,2.21,8.1,10.3,12.51,0.85,27.27,21.43,8.29,2.94,1.47,2.94,5.15,5.15,0.74,0.74,0,0,0,22.08,19.87,2.21
