"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"A.J. Greer","A.J..GREER","8478421","16-17","COL","L","L",1996-12-14,19,2015,2,39,5,68.28,24.4,51.38,56,51.91,64.27,0.89,2.75,30.5,28.87,43.54,34.21,55.68,51.58,2.75,1.53,-1.86,1.63,9.33,4.09,1.22,2.91,90.47
"A.J. Greer","A.J..GREER","8478421","17-18","COL","L","L",1996-12-14,20,2015,2,39,17,125.68,67.51,41.38,39.94,40.27,39.82,1.91,0.92,24.45,34.65,31.58,47.5,41.32,61.3,1.69,2.55,0.99,-10.19,-15.92,-19.98,-0.86,7.83,97.34
"A.J. Greer","A.J..GREER","8478421","18-19","COL","L","L",1996-12-14,21,2015,2,39,15,94.02,33.44,49.06,50.64,48.87,47.84,1.31,2.6,28.59,29.68,38.85,37.87,49.32,51.59,2.19,2.39,-1.3,-1.09,0.98,-2.27,-0.2,4.58,91.23
"A.J. Greer","A.J..GREER","8478421","20-21","N.J","L","L",1996-12-14,23,2015,2,39,1,8.55,0,7.41,21.06,18.63,15.45,0,0,6.46,80.7,25.54,95.72,25.26,110.32,1.33,7.3,0,-74.25,-70.18,-85.05,-5.96,0,100
"A.J. Greer","A.J..GREER","8478421","21-22","N.J","L","L",1996-12-14,24,2015,2,39,2,17.05,100,40.08,41.61,49.94,53.37,3.55,0,23.89,35.72,30.72,43.11,43.57,43.67,3.34,2.92,3.55,-11.82,-12.39,-0.11,0.42,14.87,100
"Aaron Downey","AARON.DOWNEY","8465992","07-08","DET","R","R",1974-08-27,33,1992,NA,NA,56,256.93,45.78,51.85,52.61,52.36,46.99,1.42,1.68,27.69,25.71,38.49,34.67,47.4,43.12,1.7,1.91,-0.26,1.98,3.82,4.27,-0.22,5.12,93.47
"Aaron Downey","AARON.DOWNEY","8465992","08-09","DET","R","R",1974-08-27,34,1992,NA,NA,4,20.83,50,49.68,49.66,47.3,62.07,5.79,5.79,31.8,32.2,37.99,38.51,44.68,49.77,2.07,1.27,0,-0.4,-0.52,-5.1,0.81,18.21,82.02
"Aaron Ekblad","AARON.EKBLAD","8477932","14-15","FLA","D","R",1996-02-07,18,2014,1,1,81,1766.62,59.96,57.82,56.61,57.07,58.74,2.93,1.96,34.78,25.38,45.59,34.94,59.18,44.51,2.78,1.95,0.97,9.4,10.65,14.67,0.83,8.43,92.29
"Aaron Ekblad","AARON.EKBLAD","8477932","15-16","FLA","D","R",1996-02-07,19,2014,1,1,78,1690.82,60.69,56.43,55.41,55.96,57.83,3.29,2.13,31.34,24.2,42.34,34.07,54.45,42.84,2.94,2.14,1.16,7.14,8.27,11.61,0.8,10.51,91.18
"Aaron Ekblad","AARON.EKBLAD","8477932","16-17","FLA","D","R",1996-02-07,20,2014,1,1,68,1459.28,46.49,55.24,55.4,56.71,53,2.21,2.54,35.47,28.75,48.02,38.66,63.21,48.24,2.81,2.49,-0.33,6.72,9.36,14.96,0.32,6.22,91.17
"Aaron Ekblad","AARON.EKBLAD","8477932","17-18","FLA","D","R",1996-02-07,21,2014,1,1,82,1917.9,53.04,48.15,48.85,48.87,47.7,3.6,3.19,34.88,37.56,47.86,50.11,60.62,63.41,3.26,3.57,0.41,-2.68,-2.25,-2.79,-0.31,10.33,91.51
"Aaron Ekblad","AARON.EKBLAD","8477932","18-19","FLA","D","R",1996-02-07,22,2014,1,1,82,1938.82,49.07,51.97,49.96,49.34,47.24,3.51,3.65,33.43,30.9,43.9,43.97,55.82,57.31,2.9,3.24,-0.13,2.53,-0.07,-1.49,-0.34,10.51,88.2
"Aaron Ekblad","AARON.EKBLAD","8477932","19-20","FLA","D","R",1996-02-07,23,2014,1,1,67,1537.92,49.5,51.71,51.92,51.53,47.4,3.62,3.69,33.68,31.45,43.83,40.59,57.13,53.73,2.84,3.15,-0.07,2.23,3.24,3.4,-0.31,10.75,88.26
"Aaron Ekblad","AARON.EKBLAD","8477932","20-21","FLA","D","R",1996-02-07,24,2014,1,1,35,878.18,59.88,56.57,55.33,55.57,57.77,3.82,2.56,35.77,27.46,46.71,37.7,59.02,47.19,3.59,2.62,1.26,8.31,9,11.83,0.96,10.68,90.68
"Aaron Ekblad","AARON.EKBLAD","8477932","21-22","FLA","D","R",1996-02-07,25,2014,1,1,52,1317.57,62.62,57.31,58.84,58.56,59.24,4.96,2.96,38.78,28.88,51.56,36.06,67.72,47.91,4.13,2.84,2,9.9,15.49,19.81,1.29,12.78,89.76
"Aaron Gagnon","AARON.GAGNON","8471451","09-10","DAL","C","R",1986-04-24,23,2004,8,240,2,17.63,0,46.1,47.19,45.29,51.72,0,7.32,25.52,29.85,43.66,48.87,62.21,75.14,2.55,2.38,-7.32,-4.32,-5.21,-12.93,0.17,0,75.48
"Aaron Gagnon","AARON.GAGNON","8471451","10-11","DAL","C","R",1986-04-24,24,2004,8,240,19,153.2,24.46,37.93,44.71,48.19,49.79,1.19,3.67,20.03,32.78,32.76,40.51,51.17,55.01,2.3,2.32,-2.48,-12.75,-7.75,-3.85,-0.02,5.92,88.82
"Aaron Gagnon","AARON.GAGNON","8471451","11-12","WPG","C","R",1986-04-24,25,2004,8,240,7,66.13,0,52.16,56.62,54.81,56.98,0,0.9,28.84,26.46,48.62,37.25,65.26,53.8,2.7,2.04,-0.9,2.39,11.37,11.46,0.66,0,96.6
"Aaron Gagnon","AARON.GAGNON","8471451","12-13","WPG","C","R",1986-04-24,26,2004,8,240,10,81.53,55.08,45.18,45.09,46.45,48.23,3.63,2.96,22.12,26.85,32.51,39.59,47.98,55.31,2.2,2.36,0.67,-4.72,-7.08,-7.33,-0.16,16.4,88.98
"Aaron Johnson","AARON.JOHNSON","8469534","07-08","NYI","D","L",1983-04-30,24,2001,3,85,30,415.85,55.4,49.75,48.78,50.42,46.52,3.03,2.44,28.35,28.64,36.99,38.83,52.81,51.93,2.26,2.6,0.59,-0.29,-1.84,0.88,-0.34,10.7,91.48
"Aaron Johnson","AARON.JOHNSON","8469534","08-09","CHI","D","L",1983-04-30,25,2001,3,85,38,537.38,63.43,45.37,47.53,47.25,45.97,2.98,1.72,25.38,30.57,36.28,40.06,45.89,51.24,2.06,2.42,1.26,-5.19,-3.77,-5.35,-0.36,11.74,94.38
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","CGY/EDM","D","L",1983-04-30,26,2001,3,85,41,641.63,44.43,46.25,46.77,46.02,45.2,2.29,2.87,28.16,32.73,39.68,45.15,51.9,60.87,2.36,2.86,-0.57,-4.57,-5.47,-8.97,-0.5,8.14,91.24
"Aaron Johnson","AARON.JOHNSON","8469534","11-12","CBJ","D","L",1983-04-30,28,2001,3,85,56,924.4,41.12,45.69,46,45.26,49.78,2.27,3.25,26.52,31.53,35.84,42.07,47.14,57.01,2.4,2.42,-0.98,-5.01,-6.24,-9.87,-0.02,8.56,89.69
"Aaron Johnson","AARON.JOHNSON","8469534","12-13","BOS","D","L",1983-04-30,29,2001,3,85,10,148.7,44.29,57.85,57.7,58.18,53.63,1.57,1.97,31.61,23.03,45.2,33.13,63.69,45.78,2.41,2.09,-0.4,8.58,12.07,17.92,0.33,4.95,91.45
"Aaron MacKenzie","AARON.MACKENZIE","8471004","08-09","COL","D","L",1981-03-07,27,1999,NA,NA,5,73.17,51.44,54.29,52.49,47.7,43.09,0.88,0.83,26.67,22.45,38.2,34.57,46.67,51.18,1.33,1.75,0.05,4.21,3.62,-4.51,-0.43,3.29,96.31
"Aaron Miller","AARON.MILLER","8457384","07-08","VAN","D","R",1971-08-11,36,1989,5,88,57,988.18,40.32,40.03,39.9,39.78,40.01,1.95,2.88,20.84,31.22,29.06,43.77,38.31,57.99,1.68,2.51,-0.93,-10.38,-14.71,-19.68,-0.84,9.34,90.77
"Aaron Ness","AARON.NESS","8474604","11-12","NYI","D","L",1990-05-18,21,2008,2,40,9,152.43,42.09,37.16,41.54,41.72,49.88,1.54,2.12,20.09,33.99,33.56,47.23,45.55,63.64,2.39,2.4,-0.58,-13.89,-13.67,-18.09,-0.01,7.66,93.77
"Aaron Ness","AARON.NESS","8474604","13-14","NYI","D","L",1990-05-18,23,2008,2,40,20,295.88,14.39,42.42,44.27,45.86,44.64,0.61,3.62,25.41,34.5,37.69,47.45,54.27,64.07,2.26,2.81,-3.01,-9.09,-9.76,-9.8,-0.54,2.39,89.51
"Aaron Ness","AARON.NESS","8474604","15-16","WSH","D","L",1990-05-18,25,2008,2,40,8,99.1,76.59,55.79,51.73,56.01,48.33,3.72,1.14,27.81,22.04,39.36,36.72,62.08,48.76,2.19,2.34,2.59,5.77,2.64,13.31,-0.15,13.39,94.84
"Aaron Ness","AARON.NESS","8474604","16-17","WSH","D","L",1990-05-18,26,2008,2,40,2,25.67,0,35.05,33.51,38.64,47.88,0,2.2,16.24,30.11,23.47,46.56,36.95,58.69,1.85,2.01,-2.2,-13.86,-23.09,-21.74,-0.16,0,92.7
"Aaron Ness","AARON.NESS","8474604","17-18","WSH","D","L",1990-05-18,27,2008,2,40,8,101.82,55.18,43.66,41.93,41.76,41.59,3.58,2.91,28.06,36.21,37.25,51.58,46.09,64.28,2.04,2.86,0.67,-8.15,-14.33,-18.2,-0.82,12.75,91.98
"Aaron Ness","AARON.NESS","8474604","19-20","ARI","D","L",1990-05-18,29,2008,2,40,24,300.83,49.44,51.3,49.38,49.42,50.48,2.56,2.61,30.91,29.34,42,43.04,54.95,56.24,2.22,2.18,-0.06,1.57,-1.05,-1.29,0.04,8.27,91.09
"Aaron Ness","AARON.NESS","8474604","20-21","ARI","D","L",1990-05-18,30,2008,2,40,1,12.83,0,54.18,58.15,55.4,71.12,0,0,43.02,36.38,62.9,45.27,67.62,54.43,6.22,2.53,0,6.64,17.63,13.19,3.69,0,100
"Aaron Palushaj","AARON.PALUSHAJ","8474030","10-11","MTL","R","R",1989-09-07,21,2007,2,44,3,25.55,100,44.51,47,51.44,39.63,2.51,0,22,27.43,41.38,46.66,73.62,69.49,2.02,3.08,2.51,-5.42,-5.28,4.13,-1.06,11.42,100
"Aaron Palushaj","AARON.PALUSHAJ","8474030","11-12","MTL","R","R",1989-09-07,22,2007,2,44,38,287.52,54.04,53.81,53.77,56.08,54.31,1.68,1.43,27.71,23.79,41.08,35.32,62.97,49.31,2.18,1.83,0.25,3.92,5.76,13.66,0.35,6.05,94.01
"Aaron Palushaj","AARON.PALUSHAJ","8474030","12-13","COL","R","R",1989-09-07,23,2007,2,44,25,282.88,46.6,50.36,49.3,48.95,52.21,2.78,3.18,32.81,32.34,42.16,43.36,54.77,57.12,2.45,2.25,-0.41,0.46,-1.2,-2.35,0.21,8.46,90.16
"Aaron Palushaj","AARON.PALUSHAJ","8474030","13-14","CAR","R","R",1989-09-07,24,2007,2,44,2,18.65,0,53.84,53.12,54.61,61.07,0,3.18,34.29,29.4,43.82,38.67,62.48,51.92,2.57,1.64,-3.18,4.89,5.15,10.55,0.93,0,89.17
"Aaron Rome","AARON.ROME","8470310","07-08","CBJ","D","L",1983-09-27,23,2002,4,104,17,309.03,29.69,48.11,48.68,47.33,47.66,1.16,2.75,24.96,26.92,33.66,35.48,42.27,47.03,1.91,2.1,-1.59,-1.96,-1.82,-4.76,-0.19,4.65,89.79
"Aaron Rome","AARON.ROME","8470310","08-09","CBJ","D","L",1983-09-27,24,2002,4,104,8,123.73,46.94,61.36,59.98,56.9,65.18,1.97,2.23,30.9,19.46,43.22,28.84,53.08,40.2,2.62,1.4,-0.26,11.44,14.38,12.88,1.22,6.39,88.54
"Aaron Rome","AARON.ROME","8470310","09-10","VAN","D","L",1983-09-27,25,2002,4,104,49,743.77,46.12,49.03,48.02,49.13,47.48,2.38,2.78,28.78,29.92,38.81,42.02,51.98,53.82,2.24,2.47,-0.4,-1.13,-3.2,-1.84,-0.24,8.26,90.72
"Aaron Rome","AARON.ROME","8470310","10-11","VAN","D","L",1983-09-27,26,2002,4,104,56,975.03,47.68,44.48,46.04,47.4,44.68,2.2,2.41,25.41,31.72,36.41,42.67,49.87,55.35,2.22,2.75,-0.21,-6.31,-6.26,-5.47,-0.53,8.64,92.4
"Aaron Rome","AARON.ROME","8470310","11-12","VAN","D","L",1983-09-27,27,2002,4,104,43,654.73,42.91,52.05,51.55,51.01,49.28,1.91,2.54,30.31,27.91,40.46,38.03,54.46,52.31,2.27,2.34,-0.63,2.39,2.43,2.15,-0.07,6.31,90.89
"Aaron Rome","AARON.ROME","8470310","12-13","DAL","D","L",1983-09-27,28,2002,4,104,27,414.02,35.58,37.87,38.08,40.98,37.1,2,3.63,21.68,35.57,30.78,50.05,44.76,64.45,1.87,3.17,-1.62,-13.89,-19.27,-19.69,-1.3,9.24,89.8
"Aaron Rome","AARON.ROME","8470310","13-14","DAL","D","L",1983-09-27,29,2002,4,104,25,327.2,34.81,45.92,46.14,46.38,43.99,2.2,4.11,25.8,30.39,37.1,43.31,53.3,61.62,2.34,2.98,-1.92,-4.59,-6.21,-8.32,-0.64,8.51,86.46
"Aaron Volpatti","AARON.VOLPATTI","8475619","10-11","VAN","L","L",1985-05-30,25,2003,NA,NA,15,102.47,49.84,57.27,53.33,51.39,51.37,1.78,1.79,29.99,22.38,39.65,34.69,49.16,46.5,1.97,1.87,-0.01,7.61,4.95,2.66,0.11,5.94,91.99
"Aaron Volpatti","AARON.VOLPATTI","8475619","11-12","VAN","L","L",1985-05-30,26,2003,NA,NA,23,206.28,37.68,44.59,44.97,45.34,46.03,1.42,2.35,22.06,27.41,32.21,39.42,45.5,54.85,1.59,1.86,-0.93,-5.35,-7.2,-9.35,-0.27,6.44,91.43
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","VAN/WSH","L","L",1985-05-30,27,2003,NA,NA,33,275.13,41.32,45.85,48.68,46.13,47.88,1.09,1.55,23.17,27.36,34.11,35.95,43.61,50.92,1.74,1.9,-0.46,-4.19,-1.84,-7.31,-0.15,4.71,94.34
"Aaron Volpatti","AARON.VOLPATTI","8475619","13-14","WSH","L","L",1985-05-30,28,2003,NA,NA,41,301.87,37.01,39.99,40.29,40.4,40.31,0.81,1.38,20.14,30.22,27.87,41.31,39.27,57.93,1.44,2.12,-0.57,-10.08,-13.44,-18.66,-0.69,4.04,95.42
"Aaron Volpatti","AARON.VOLPATTI","8475619","14-15","WSH","L","L",1985-05-30,29,2003,NA,NA,2,19.23,0,53.41,60.53,50.02,63.04,0,0,21.75,18.97,37.85,24.68,44.12,44.09,1.81,1.06,0,2.78,13.17,0.03,0.75,0,100
"Aaron Voros","AARON.VOROS","8469672","07-08","MIN","L","L",1981-07-02,26,2001,8,229,55,504.6,50.45,46.68,47.15,48.9,55.25,3.01,2.96,25.87,29.55,36.55,40.96,49.04,51.25,2.37,1.92,0.05,-3.68,-4.41,-2.22,0.45,11.63,90
"Aaron Voros","AARON.VOROS","8469672","08-09","NYR","L","L",1981-07-02,27,2001,8,229,54,603.58,44.99,56.77,56.68,59.69,54.17,2.29,2.8,35.05,26.69,48.78,37.29,65.3,44.1,3.4,2.88,-0.51,8.36,11.49,21.2,0.52,6.54,89.51
"Aaron Voros","AARON.VOROS","8469672","09-10","NYR","L","L",1981-07-02,28,2001,8,229,41,251.83,48.33,44.36,45.03,44.04,42.35,2.21,2.36,24.14,30.28,34.04,41.56,46.25,58.78,1.95,2.65,-0.15,-6.14,-7.52,-12.52,-0.7,9.14,92.21
"Aaron Voros","AARON.VOROS","8469672","10-11","ANA","L","L",1981-07-02,29,2001,8,229,12,66.55,17.54,48.87,48.22,45.28,46.58,0.96,4.53,26.1,27.31,39.11,42,46.17,55.79,1.97,2.25,-3.57,-1.21,-2.89,-9.62,-0.29,3.7,83.39
"Aaron Ward","AARON.WARD","8458519","07-08","BOS","D","R",1973-01-17,34,1991,1,5,64,1325.75,50.07,47.41,47.6,48.44,45.37,2.48,2.47,26.72,29.63,37.32,41.08,49.03,52.19,2.2,2.65,0.01,-2.92,-3.76,-3.16,-0.45,9.28,91.66
"Aaron Ward","AARON.WARD","8458519","08-09","BOS","D","R",1973-01-17,35,1991,1,5,64,1214.9,49.68,45.25,46.29,45.84,45.16,2.32,2.35,26.62,32.21,37.38,43.37,49.08,57.98,2.25,2.74,-0.03,-5.59,-5.99,-8.9,-0.48,8.7,92.72
"Aaron Ward","AARON.WARD","8458519","09-10","ANA/CAR","D","R",1973-01-17,36,1991,1,5,76,1308.02,36.31,42.31,42.8,43.15,37.57,2.16,3.78,24.75,33.75,35.39,47.31,47.97,63.2,2.1,3.49,-1.63,-9,-11.92,-15.23,-1.39,8.71,88.8
"Adam Almquist","ADAM.ALMQUIST","8475332","13-14","DET","D","L",1991-02-27,22,2009,7,209,2,34.43,39.07,51.42,54.35,52.95,53.42,3.36,5.25,35.22,33.27,43.83,36.81,51.13,45.43,3.4,2.96,-1.88,1.95,7.02,5.7,0.44,9.55,84.23
"Adam Beckman","ADAM.BECKMAN","8481550","21-22","MIN","L","L",2001-05-10,20,2019,3,75,3,31.23,48.28,54.48,51.95,55.96,51.72,3.52,3.77,41.48,34.66,47.61,44.03,75.91,59.75,2.31,2.15,-0.25,6.82,3.57,16.16,0.15,8.48,89.14
"Adam Berti","ADAM.BERTI","8471281","07-08","CHI","L","L",1986-07-01,21,2004,3,68,2,20.23,0,36.07,45.31,48.05,52.08,0,0,14.98,26.54,27.11,32.71,36.6,39.57,1.48,1.36,0,-11.57,-5.61,-2.97,0.12,0,100
"Adam Boqvist","ADAM.BOQVIST","8480871","19-20","CHI","D","R",2000-08-15,19,2018,1,8,41,665.12,53.93,51.05,51.85,53.17,52.5,3.47,2.97,35.35,33.89,46.58,43.26,61.89,54.52,3.27,2.96,0.51,1.45,3.32,7.37,0.31,9.83,91.24
"Adam Boqvist","ADAM.BOQVIST","8480871","20-21","CHI","D","R",2000-08-15,20,2018,1,8,35,594.65,55.77,53.5,53.49,54.27,53.61,3.46,2.74,31.72,27.57,41.62,36.19,56.19,47.35,3.09,2.67,0.72,4.15,5.43,8.84,0.42,10.9,90.05
"Adam Boqvist","ADAM.BOQVIST","8480871","21-22","CBJ","D","R",2000-08-15,21,2018,1,8,40,685.1,46.94,48.11,49.12,49.87,46,3.13,3.54,33.39,36.01,46.13,47.79,60.09,60.39,2.89,3.39,-0.41,-2.62,-1.66,-0.3,-0.5,9.38,90.17
"Adam Brooks","ADAM.BROOKS","8478996","19-20","TOR","C","L",1996-05-06,23,2016,4,92,7,54.97,60,53.64,47.95,46.69,51.52,3.21,2.14,24.06,20.79,35.29,38.3,46.18,52.73,2.59,2.43,1.07,3.26,-3.01,-6.55,0.15,13.34,89.71
"Adam Brooks","ADAM.BROOKS","8478996","20-21","TOR","C","L",1996-05-06,24,2016,4,92,11,117.45,72.3,57.52,50.62,52.03,55.83,4.11,1.57,26.17,19.33,30.92,30.16,43.64,40.23,2.08,1.64,2.53,6.85,0.76,3.41,0.43,15.69,91.86
"Adam Brooks","ADAM.BROOKS","8478996","21-22","MTL/VGK/WPG","C","L",1996-05-06,25,2016,4,92,15,158.34,68.46,52.54,51.16,51.1,52.4,1.59,0.73,28.08,25.36,40.11,38.3,53.18,50.9,2.48,2.25,0.86,2.71,1.82,2.28,0.23,5.66,97.12
"Adam Burish","ADAM.BURISH","8470063","07-08","CHI","R","R",1983-01-06,24,2002,9,282,80,938.38,26.67,36.22,35.62,34.5,31.23,1.25,3.44,18.97,33.41,24.11,43.57,30.6,58.09,1.39,3.05,-2.19,-14.43,-19.46,-27.49,-1.67,6.59,89.7
"Adam Burish","ADAM.BURISH","8470063","08-09","CHI","R","R",1983-01-06,25,2002,9,282,66,606.65,42.34,46,45.61,43.29,44.02,1.72,2.35,25.37,29.79,32.53,38.8,40.94,53.64,1.91,2.43,-0.62,-4.42,-6.27,-12.69,-0.52,6.79,92.12
"Adam Burish","ADAM.BURISH","8470063","09-10","CHI","R","R",1983-01-06,26,2002,9,282,13,114.07,61.42,51.8,52.02,51.08,47.91,3.28,2.06,33.46,31.14,44.85,41.37,58.97,56.48,2.36,2.56,1.22,2.32,3.48,2.49,-0.21,9.81,93.38
"Adam Burish","ADAM.BURISH","8470063","10-11","DAL","R","R",1983-01-06,27,2002,9,282,63,904.03,40.26,41.32,40.34,38.62,37.44,1.72,2.56,22.87,32.48,31.4,46.43,41.77,66.39,1.7,2.84,-0.83,-9.61,-15.03,-24.62,-1.14,7.53,92.13
"Adam Burish","ADAM.BURISH","8470063","11-12","DAL","R","R",1983-01-06,28,2002,9,282,65,831.22,47.98,43.93,45.04,45.24,43.57,2.3,2.49,24.46,31.21,35.81,43.7,50.01,60.54,1.94,2.51,-0.19,-6.75,-7.89,-10.53,-0.57,9.41,92.01
"Adam Burish","ADAM.BURISH","8470063","12-13","S.J","R","R",1983-01-06,29,2002,9,282,46,486.2,21.01,38.58,39.72,39.56,38.5,0.62,2.32,20.75,33.03,31.44,47.72,44.01,67.23,1.7,2.72,-1.7,-12.28,-16.28,-23.22,-1.02,2.97,92.98
"Adam Burish","ADAM.BURISH","8470063","13-14","S.J","R","R",1983-01-06,30,2002,9,282,15,144.3,19.6,50.84,53.16,48.13,52.7,0.81,3.33,24.82,24,40.96,36.09,50.7,54.64,2.39,2.15,-2.52,0.82,4.87,-3.93,0.25,3.27,86.14
"Adam Burish","ADAM.BURISH","8470063","14-15","S.J","R","R",1983-01-06,31,2002,9,282,20,222.9,18.96,32.32,32.83,33.69,27.53,0.81,3.45,17.57,36.8,25.47,52.1,36.66,72.17,1.31,3.45,-2.64,-19.23,-26.64,-35.51,-2.14,4.6,90.62
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","CHI/VAN","D","R",1992-10-26,21,2011,2,36,21,349.38,59.38,55.34,55.76,54.82,49.84,3.49,2.39,34.11,27.53,46.35,36.78,59.46,49,2.73,2.75,1.1,6.58,9.57,10.46,-0.02,10.23,91.33
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","EDM/PIT","D","R",1992-10-26,22,2011,2,36,29,429.08,59.05,49.15,48.4,49.46,50.61,2.66,1.84,29.95,30.98,40.75,43.44,55.42,56.64,2.38,2.33,0.81,-1.03,-2.69,-1.21,0.06,8.87,94.06
"Adam Clendening","ADAM.CLENDENING","8476431","16-17","NYR","D","R",1992-10-26,23,2011,2,36,31,490.1,57.01,55.45,56.96,57.71,56.16,2.78,2.1,29.64,23.82,44.68,33.75,61.01,44.71,2.85,2.23,0.68,5.83,10.92,16.3,0.63,9.39,91.18
"Adam Clendening","ADAM.CLENDENING","8476431","17-18","ARI","D","R",1992-10-26,24,2011,2,36,5,79.67,39.32,44.03,43.07,41.81,34.97,3.05,4.71,30.67,38.99,40.91,54.07,52.54,73.11,2.2,4.09,-1.66,-8.31,-13.16,-20.57,-1.89,9.94,87.93
"Adam Clendening","ADAM.CLENDENING","8476431","18-19","CBJ","D","R",1992-10-26,25,2011,2,36,4,42.62,50.76,34.81,35.29,38.41,28.78,2.82,2.73,24.37,45.64,32.52,59.63,46.33,74.29,1.63,4.04,0.08,-21.27,-27.11,-27.96,-2.41,11.55,94.02
"Adam Cracknell","ADAM.CRACKNELL","8471490","10-11","STL","R","R",1985-07-15,25,2004,9,279,24,214.17,52.72,49.64,47.97,48.77,44.14,2.85,2.55,25.73,26.11,35.69,38.71,51.18,53.76,1.82,2.31,0.29,-0.38,-3.02,-2.58,-0.48,11.07,90.21
"Adam Cracknell","ADAM.CRACKNELL","8471490","11-12","STL","R","R",1985-07-15,26,2004,9,279,2,15.28,100,49.8,57.99,57.32,60.47,3.69,0,28.82,29.06,45.04,32.63,62.24,46.34,2.04,1.34,3.69,-0.24,12.41,15.9,0.71,12.81,100
"Adam Cracknell","ADAM.CRACKNELL","8471490","12-13","STL","R","R",1985-07-15,27,2004,9,279,20,172.28,68.14,58.31,56.97,56.44,56.11,2.09,0.98,29.41,21.03,41.84,31.6,55.97,43.2,2.14,1.68,1.11,8.39,10.24,12.77,0.47,7.12,95.35
