"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"A.J. Greer","A.J..GREER","8478421","16-17","COL","L","L",1996-12-14,19,2015,2,39,5,68.28,24.4,51.38,56,51.91,64.27,1.01,3.13,34.71,32.85,49.55,38.93,63.36,58.7,3.13,1.74,-2.12,1.86,10.62,4.66,1.39,2.91,90.47
"A.J. Greer","A.J..GREER","8478421","17-18","COL","L","L",1996-12-14,20,2015,2,39,17,125.68,67.51,41.38,39.94,40.27,39.82,4.01,1.93,51.22,72.57,66.15,99.49,86.56,128.41,3.54,5.35,2.08,-21.35,-33.34,-41.85,-1.81,7.83,97.34
"A.J. Greer","A.J..GREER","8478421","18-19","COL","L","L",1996-12-14,21,2015,2,39,15,94.02,33.44,49.06,50.64,48.87,47.84,2.05,4.08,44.8,46.51,60.88,59.34,77.28,80.84,3.43,3.74,-2.03,-1.71,1.54,-3.56,-0.31,4.58,91.23
"A.J. Greer","A.J..GREER","8478421","20-21","N.J","L","L",1996-12-14,23,2015,2,39,1,8.55,0,7.41,21.06,18.63,15.45,0,0,0.92,11.5,3.64,13.64,3.6,15.72,0.19,1.04,0,-10.58,-10,-12.12,-0.85,0,100
"A.J. Greer","A.J..GREER","8478421","21-22","N.J","L","L",1996-12-14,24,2015,2,39,2,17.05,100,40.08,41.61,49.94,53.37,1.01,0,6.79,10.15,8.73,12.25,12.38,12.41,0.95,0.83,1.01,-3.36,-3.52,-0.03,0.12,14.87,100
"Aaron Downey","AARON.DOWNEY","8465992","07-08","DET","R","R",1974-08-27,33,1992,NA,NA,56,256.93,45.78,51.85,52.61,52.36,46.99,6.07,7.19,118.58,110.11,164.81,148.45,202.96,184.66,7.26,8.19,-1.12,8.47,16.36,18.3,-0.93,5.12,93.47
"Aaron Downey","AARON.DOWNEY","8465992","08-09","DET","R","R",1974-08-27,34,1992,NA,NA,4,20.83,50,49.68,49.66,47.3,62.07,2.01,2.01,11.04,11.18,13.19,13.37,15.51,17.28,0.72,0.44,0,-0.14,-0.18,-1.77,0.28,18.21,82.02
"Aaron Ekblad","AARON.EKBLAD","8477932","14-15","FLA","D","R",1996-02-07,18,2014,1,1,81,1766.62,59.96,57.82,56.61,57.07,58.74,86.3,57.63,1024.1,747.21,1342.33,1028.68,1742.44,1310.56,81.86,57.49,28.67,276.89,313.65,431.88,24.37,8.43,92.29
"Aaron Ekblad","AARON.EKBLAD","8477932","15-16","FLA","D","R",1996-02-07,19,2014,1,1,78,1690.82,60.69,56.43,55.41,55.96,57.83,92.85,60.15,883.09,681.85,1193.09,960.11,1534.3,1207.24,82.79,60.38,32.7,201.24,232.98,327.06,22.41,10.51,91.18
"Aaron Ekblad","AARON.EKBLAD","8477932","16-17","FLA","D","R",1996-02-07,20,2014,1,1,68,1459.28,46.49,55.24,55.4,56.71,53,53.64,61.75,862.68,699.13,1167.8,940.17,1537.28,1173.32,68.38,60.63,-8.11,163.55,227.63,363.96,7.75,6.22,91.17
"Aaron Ekblad","AARON.EKBLAD","8477932","17-18","FLA","D","R",1996-02-07,21,2014,1,1,82,1917.9,53.04,48.15,48.85,48.87,47.7,115.16,101.95,1114.81,1200.56,1530,1601.91,1937.8,2027.05,104.15,114.21,13.21,-85.75,-71.91,-89.25,-10.06,10.33,91.51
"Aaron Ekblad","AARON.EKBLAD","8477932","18-19","FLA","D","R",1996-02-07,22,2014,1,1,82,1938.82,49.07,51.97,49.96,49.34,47.24,113.54,117.85,1080.3,998.39,1418.7,1420.88,1803.87,1851.93,93.74,104.7,-4.31,81.91,-2.18,-48.06,-10.96,10.51,88.2
