Player,EH_ID,API ID,Season,Team,Position,Shoots,Birthday,Age,Draft Yr,Draft Rd,Draft Ov,GP,xEVO_GAR/60,xEVD_GAR/60,xPPO_GAR/60,xSHD_GAR/60,xTake_GAR/60,xDraw_GAR/60,xOff_GAR/60,xDef_GAR/60,xPens_GAR/60,xGAR/60,xWAR/60,xSPAR/60
A.J. Greer,A.J..GREER,8478421,16-17,COL,L,L,1996-12-14,19,2015,2,39,5,0.547,0.776,-0.82,0.584,0.135,-0.125,0.488,0.772,0.011,1.223,0.23,0.446
A.J. Greer,A.J..GREER,8478421,17-18,COL,L,L,1996-12-14,20,2015,2,39,17,-0.351,-0.404,-0.068,0,-0.122,0.047,-0.345,-0.404,-0.075,-0.81,-0.158,-0.302
A.J. Greer,A.J..GREER,8478421,18-19,COL,L,L,1996-12-14,21,2015,2,39,15,-0.067,0.279,0,0,-0.317,-0.124,-0.067,0.279,-0.442,-0.23,-0.043,-0.081
A.J. Greer,A.J..GREER,8478421,20-21,N.J,L,L,1996-12-14,23,2015,2,39,1,0.206,-0.791,0,0,-1.372,-0.12,0.206,-0.791,-1.492,-2.078,-0.373,-0.695
A.J. Greer,A.J..GREER,8478421,21-22,N.J,L,L,1996-12-14,24,2015,2,39,2,0.111,-0.221,0,0,0.134,2.468,0.111,-0.221,2.602,2.492,0.446,0.844
Aaron Downey,AARON.DOWNEY,8465992,07-08,DET,R,R,1974-08-27,33,1992,NA,NA,56,-0.345,-0.204,-0.034,-0.026,-0.571,0.023,-0.343,-0.204,-0.548,-1.092,-0.198,-0.38
Aaron Downey,AARON.DOWNEY,8465992,08-09,DET,R,R,1974-08-27,34,1992,NA,NA,4,0.476,0.051,0,0,0.181,-0.184,0.476,0.051,-0.003,0.524,0.095,0.182
Aaron Ekblad,AARON.EKBLAD,8477932,14-15,FLA,D,R,1996-02-07,18,2014,1,1,81,0.183,0.105,1.267,-0.17,0.033,0.023,0.324,0.1,0.056,0.454,0.086,0.165
Aaron Ekblad,AARON.EKBLAD,8477932,15-16,FLA,D,R,1996-02-07,19,2014,1,1,78,0.415,0.132,-0.004,0.359,0.034,-0.022,0.358,0.14,0.011,0.468,0.09,0.174
Aaron Ekblad,AARON.EKBLAD,8477932,16-17,FLA,D,R,1996-02-07,20,2014,1,1,68,-0.055,-0.007,0.449,0.754,-0.003,0.006,0.013,0.025,0.003,0.037,0.007,0.013
Aaron Ekblad,AARON.EKBLAD,8477932,17-18,FLA,D,R,1996-02-07,21,2014,1,1,82,0.273,-0.197,1.128,-0.54,-0.036,-0.025,0.362,-0.234,-0.061,0.049,0.01,0.018
Aaron Ekblad,AARON.EKBLAD,8477932,18-19,FLA,D,R,1996-02-07,22,2014,1,1,82,0.31,0.138,1.574,0.766,-0.016,0.021,0.412,0.206,0.005,0.552,0.103,0.194
Aaron Ekblad,AARON.EKBLAD,8477932,19-20,FLA,D,R,1996-02-07,23,2014,1,1,67,0.218,0.22,0,-0.768,0.034,0.017,0.203,0.125,0.051,0.346,0.061,0.118
Aaron Ekblad,AARON.EKBLAD,8477932,20-21,FLA,D,R,1996-02-07,24,2014,1,1,35,0.325,0.034,2.402,-0.273,-0.021,0.028,0.686,-0.003,0.008,0.601,0.108,0.201
Aaron Ekblad,AARON.EKBLAD,8477932,21-22,FLA,D,R,1996-02-07,25,2014,1,1,52,0.902,0.197,0.494,0.19,0.054,-0.019,0.834,0.196,0.035,0.916,0.164,0.31
Aaron Gagnon,AARON.GAGNON,8471451,09-10,DAL,C,R,1986-04-24,23,2004,8,240,2,0.246,0.124,0,0.05,0.165,-0.162,0.246,0.113,0.003,0.327,0.059,0.114
Aaron Gagnon,AARON.GAGNON,8471451,10-11,DAL,C,R,1986-04-24,24,2004,8,240,19,0.254,0.196,-0.276,-0.083,0.16,-0.154,0.246,0.183,0.006,0.418,0.075,0.143
Aaron Gagnon,AARON.GAGNON,8471451,11-12,WPG,C,R,1986-04-24,25,2004,8,240,7,0.483,0.109,0,0,0.155,-0.137,0.483,0.109,0.018,0.606,0.106,0.196
Aaron Gagnon,AARON.GAGNON,8471451,12-13,WPG,C,R,1986-04-24,26,2004,8,240,10,1.378,0.121,-0.015,0.361,-0.008,-0.011,1.344,0.138,-0.019,1.353,0.251,0.465
Aaron Johnson,AARON.JOHNSON,8469534,07-08,NYI,D,L,1983-04-30,24,2001,3,85,30,-0.166,-0.147,-0.282,1.587,-0.224,0.017,-0.182,-0.068,-0.207,-0.439,-0.079,-0.153
Aaron Johnson,AARON.JOHNSON,8469534,08-09,CHI,D,L,1983-04-30,25,2001,3,85,38,-0.019,0.174,-0.584,-0.711,-0.119,0.005,-0.035,0.071,-0.114,-0.076,-0.014,-0.026
Aaron Johnson,AARON.JOHNSON,8469534,09-10,CGY/EDM,D,L,1983-04-30,26,2001,3,85,41,0.573,-0.214,0.037,-0.138,-0.074,0.055,0.539,-0.208,-0.02,0.283,0.051,0.099
Aaron Johnson,AARON.JOHNSON,8469534,11-12,CBJ,D,L,1983-04-30,28,2001,3,85,56,0.201,0.097,0.317,0.236,0.014,0.053,0.208,0.109,0.066,0.357,0.062,0.116
Aaron Johnson,AARON.JOHNSON,8469534,12-13,BOS,D,L,1983-04-30,29,2001,3,85,10,-0.033,0.411,0.391,0.492,-0.225,0.007,-0.033,0.416,-0.218,0.165,0.031,0.057
Aaron MacKenzie,AARON.MACKENZIE,8471004,08-09,COL,D,L,1981-03-07,27,1999,NA,NA,5,0.234,1.278,0,-0.413,0.176,0.08,0.234,1.114,0.256,1.581,0.286,0.55
Aaron Miller,AARON.MILLER,8457384,07-08,VAN,D,R,1971-08-11,36,1989,5,88,57,-0.016,0.126,-0.093,0.139,0.049,-0.034,-0.017,0.128,0.015,0.126,0.023,0.044
Aaron Ness,AARON.NESS,8474604,11-12,NYI,D,L,1990-05-18,21,2008,2,40,9,-0.249,0.05,0.562,0.239,0.058,-0.068,-0.246,0.054,-0.01,-0.198,-0.035,-0.064
Aaron Ness,AARON.NESS,8474604,13-14,NYI,D,L,1990-05-18,23,2008,2,40,20,0.018,-0.173,-0.063,2.019,-0.069,0.002,0.017,-0.061,-0.066,-0.11,-0.021,-0.039
