Player,EH_ID,API ID,Season,Team,Position,Shoots,Birthday,Age,Draft Yr,Draft Rd,Draft Ov,GP,xEVO_GAR,xEVD_GAR,xPPO_GAR,xSHD_GAR,xTake_GAR,xDraw_GAR,xOff_GAR,xDef_GAR,xPens_GAR,xGAR,xWAR,xSPAR
A.J. Greer,A.J..GREER,8478421,16-17,COL,L,L,1996-12-14,19,2015,2,39,5,0.6,0.8,0,0,0.2,-0.1,0.5,0.8,0,1.4,0.3,0.5
A.J. Greer,A.J..GREER,8478421,17-18,COL,L,L,1996-12-14,20,2015,2,39,17,-0.7,-0.8,0,0,-0.3,0.1,-0.7,-0.8,-0.2,-1.7,-0.3,-0.6
A.J. Greer,A.J..GREER,8478421,18-19,COL,L,L,1996-12-14,21,2015,2,39,15,-0.1,0.4,0,0,-0.5,-0.2,-0.1,0.4,-0.7,-0.4,-0.1,-0.1
A.J. Greer,A.J..GREER,8478421,20-21,N.J,L,L,1996-12-14,23,2015,2,39,1,0,-0.1,0,0,-0.2,0,0,-0.1,-0.2,-0.3,-0.1,-0.1
A.J. Greer,A.J..GREER,8478421,21-22,N.J,L,L,1996-12-14,24,2015,2,39,2,0,-0.1,0,0,0,0.7,0,-0.1,0.7,0.7,0.1,0.2
Aaron Downey,AARON.DOWNEY,8465992,07-08,DET,R,R,1974-08-27,33,1992,NA,NA,56,-1.5,-0.9,0,0,-2.4,0.1,-1.5,-0.9,-2.3,-4.7,-0.8,-1.6
Aaron Downey,AARON.DOWNEY,8465992,08-09,DET,R,R,1974-08-27,34,1992,NA,NA,4,0.2,0,0,0,0.1,-0.1,0.2,0,0,0.2,0,0.1
Aaron Ekblad,AARON.EKBLAD,8477932,14-15,FLA,D,R,1996-02-07,18,2014,1,1,81,4.5,2.6,4.7,-0.1,1,0.7,9.2,2.5,1.6,13.4,2.5,4.9
Aaron Ekblad,AARON.EKBLAD,8477932,15-16,FLA,D,R,1996-02-07,19,2014,1,1,78,9.5,3,0,0.3,0.9,-0.6,9.5,3.4,0.3,13.2,2.5,4.9
Aaron Ekblad,AARON.EKBLAD,8477932,16-17,FLA,D,R,1996-02-07,20,2014,1,1,68,-1.1,-0.1,1.4,0.7,-0.1,0.1,0.3,0.5,0.1,0.9,0.2,0.3
Aaron Ekblad,AARON.EKBLAD,8477932,17-18,FLA,D,R,1996-02-07,21,2014,1,1,82,6.8,-4.9,3.3,-1.6,-1.2,-0.8,10.1,-6.6,-2,1.6,0.3,0.6
Aaron Ekblad,AARON.EKBLAD,8477932,18-19,FLA,D,R,1996-02-07,22,2014,1,1,82,8.1,3.6,3.6,2.4,-0.5,0.7,11.7,6,0.2,17.8,3.3,6.3
Aaron Ekblad,AARON.EKBLAD,8477932,19-20,FLA,D,R,1996-02-07,23,2014,1,1,67,4.6,4.7,0,-1.7,0.9,0.4,4.6,2.9,1.3,8.9,1.6,3
Aaron Ekblad,AARON.EKBLAD,8477932,20-21,FLA,D,R,1996-02-07,24,2014,1,1,35,3.4,0.4,5.3,-0.4,-0.3,0.4,8.7,0,0.1,8.8,1.6,2.9
Aaron Ekblad,AARON.EKBLAD,8477932,21-22,FLA,D,R,1996-02-07,25,2014,1,1,52,14.3,3.1,1.5,0.4,1.2,-0.4,15.8,3.6,0.8,20.1,3.6,6.8
Aaron Gagnon,AARON.GAGNON,8471451,09-10,DAL,C,R,1986-04-24,23,2004,8,240,2,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0
Aaron Gagnon,AARON.GAGNON,8471451,10-11,DAL,C,R,1986-04-24,24,2004,8,240,19,0.6,0.5,0,0,0.4,-0.4,0.6,0.5,0,1.1,0.2,0.4
Aaron Gagnon,AARON.GAGNON,8471451,11-12,WPG,C,R,1986-04-24,25,2004,8,240,7,0.5,0.1,0,0,0.2,-0.2,0.5,0.1,0,0.7,0.1,0.2
Aaron Gagnon,AARON.GAGNON,8471451,12-13,WPG,C,R,1986-04-24,26,2004,8,240,10,1.7,0.1,0,0,0,0,1.7,0.2,0,1.8,0.3,0.6
Aaron Johnson,AARON.JOHNSON,8469534,07-08,NYI,D,L,1983-04-30,24,2001,3,85,30,-0.9,-0.8,-0.3,0.4,-1.6,0.1,-1.2,-0.4,-1.4,-3,-0.6,-1.1
Aaron Johnson,AARON.JOHNSON,8469534,08-09,CHI,D,L,1983-04-30,25,2001,3,85,38,-0.1,1.3,-0.1,-0.7,-1.1,0,-0.3,0.6,-1,-0.7,-0.1,-0.2
Aaron Johnson,AARON.JOHNSON,8469534,09-10,CGY/EDM,D,L,1983-04-30,26,2001,3,85,41,5.3,-2,0,-0.1,-0.8,0.6,5.3,-2.1,-0.2,3,0.5,1.1
Aaron Johnson,AARON.JOHNSON,8469534,11-12,CBJ,D,L,1983-04-30,28,2001,3,85,56,2.7,1.3,0.3,0.3,0.2,0.8,2.9,1.6,1,5.5,1,1.8
Aaron Johnson,AARON.JOHNSON,8469534,12-13,BOS,D,L,1983-04-30,29,2001,3,85,10,-0.1,0.9,0,0.1,-0.6,0,-0.1,1,-0.5,0.4,0.1,0.1
Aaron MacKenzie,AARON.MACKENZIE,8471004,08-09,COL,D,L,1981-03-07,27,1999,NA,NA,5,0.3,1.4,0,0,0.2,0.1,0.3,1.4,0.3,1.9,0.3,0.7
Aaron Miller,AARON.MILLER,8457384,07-08,VAN,D,R,1971-08-11,36,1989,5,88,57,-0.2,1.7,0,0.3,0.8,-0.6,-0.2,2.1,0.3,2.1,0.4,0.7
Aaron Ness,AARON.NESS,8474604,11-12,NYI,D,L,1990-05-18,21,2008,2,40,9,-0.6,0.1,0,0,0.1,-0.2,-0.6,0.1,0,-0.5,-0.1,-0.2
Aaron Ness,AARON.NESS,8474604,13-14,NYI,D,L,1990-05-18,23,2008,2,40,20,0.1,-0.8,0,0.5,-0.3,0,0.1,-0.3,-0.3,-0.5,-0.1,-0.2
Aaron Ness,AARON.NESS,8474604,15-16,WSH,D,L,1990-05-18,25,2008,2,40,8,0,0.1,0,0,0,0.1,0,0.1,0.1,0.2,0,0.1
Aaron Ness,AARON.NESS,8474604,16-17,WSH,D,L,1990-05-18,26,2008,2,40,2,-0.1,0,0,0,0.1,0,-0.1,0,0,-0.1,0,0
Aaron Ness,AARON.NESS,8474604,17-18,WSH,D,L,1990-05-18,27,2008,2,40,8,0.1,-0.5,0,0,-0.5,0.1,0.1,-0.4,-0.4,-0.7,-0.1,-0.3
Aaron Ness,AARON.NESS,8474604,19-20,ARI,D,L,1990-05-18,29,2008,2,40,24,-0.1,0.8,0,0.1,0.6,0.6,-0.1,0.9,1.3,2.1,0.4,0.7
Aaron Ness,AARON.NESS,8474604,20-21,ARI,D,L,1990-05-18,30,2008,2,40,1,0.2,0,0,0,0,0,0.2,0,0,0.2,0,0.1
Aaron Palushaj,AARON.PALUSHAJ,8474030,10-11,MTL,R,R,1989-09-07,21,2007,2,44,3,0.1,-0.1,0,0,-0.1,0.1,0.1,-0.1,0,0,0,0
Aaron Palushaj,AARON.PALUSHAJ,8474030,11-12,MTL,R,R,1989-09-07,22,2007,2,44,38,0.4,0.7,0,0,0,1.4,0.4,0.7,1.5,2.5,0.4,0.8
Aaron Palushaj,AARON.PALUSHAJ,8474030,12-13,COL,R,R,1989-09-07,23,2007,2,44,25,2.3,-0.6,-0.2,0,0,1,2,-0.6,1,2.4,0.4,0.8
Aaron Palushaj,AARON.PALUSHAJ,8474030,13-14,CAR,R,R,1989-09-07,24,2007,2,44,2,0,0,0,0,0,0,0,0,0,0.1,0,0
Aaron Rome,AARON.ROME,8470310,07-08,CBJ,D,L,1983-09-27,23,2002,4,104,17,0.8,0.8,-0.2,0,0.6,-0.2,0.6,0.8,0.3,1.7,0.3,0.6
Aaron Rome,AARON.ROME,8470310,08-09,CBJ,D,L,1983-09-27,24,2002,4,104,8,0.4,1.2,0,0,0.4,-0.2,0.5,1.2,0.2,1.9,0.3,0.7
Aaron Rome,AARON.ROME,8470310,09-10,VAN,D,L,1983-09-27,25,2002,4,104,49,-2.5,-1.2,-0.2,0.2,0.6,-0.3,-2.7,-1,0.3,-3.4,-0.6,-1.2
Aaron Rome,AARON.ROME,8470310,10-11,VAN,D,L,1983-09-27,26,2002,4,104,56,-2.7,-0.1,0.1,0.5,-0.6,-0.7,-2.6,0.4,-1.3,-3.6,-0.6,-1.2
Aaron Rome,AARON.ROME,8470310,11-12,VAN,D,L,1983-09-27,27,2002,4,104,43,2.7,0.8,0.6,-0.2,-0.6,0,3.3,0.7,-0.6,3.4,0.6,1.1
Aaron Rome,AARON.ROME,8470310,12-13,DAL,D,L,1983-09-27,28,2002,4,104,27,-0.7,-0.3,0,-1.5,-0.1,0.1,-0.7,-1.8,0.1,-2.4,-0.5,-0.8
Aaron Rome,AARON.ROME,8470310,13-14,DAL,D,L,1983-09-27,29,2002,4,104,25,-0.6,0.2,0,-0.4,0.4,-0.2,-0.6,-0.3,0.2,-0.7,-0.1,-0.2
Aaron Volpatti,AARON.VOLPATTI,8475619,10-11,VAN,L,L,1985-05-30,25,2003,NA,NA,15,0.1,0.5,0,0,-0.1,-0.3,0.1,0.5,-0.4,0.2,0,0.1
Aaron Volpatti,AARON.VOLPATTI,8475619,11-12,VAN,L,L,1985-05-30,26,2003,NA,NA,23,-0.6,1,0,0,-0.6,0,-0.6,1,-0.5,-0.1,0,0
Aaron Volpatti,AARON.VOLPATTI,8475619,12-13,VAN/WSH,L,L,1985-05-30,27,2003,NA,NA,33,-1.2,1.6,0,0,-0.2,-0.1,-1.2,1.6,-0.3,0.1,0,0
Aaron Volpatti,AARON.VOLPATTI,8475619,13-14,WSH,L,L,1985-05-30,28,2003,NA,NA,41,-2.1,-1.5,0,0,-0.3,-0.3,-2.1,-1.5,-0.6,-4.2,-0.8,-1.5
Aaron Volpatti,AARON.VOLPATTI,8475619,14-15,WSH,L,L,1985-05-30,29,2003,NA,NA,2,0,0.1,0,0,0,0.2,0,0.1,0.2,0.3,0.1,0.1
Aaron Voros,AARON.VOROS,8469672,07-08,MIN,L,L,1981-07-02,26,2001,8,229,55,2.4,-2.3,-0.8,0,-1.8,0.2,1.5,-2.3,-1.6,-2.3,-0.4,-0.8
Aaron Voros,AARON.VOROS,8469672,08-09,NYR,L,L,1981-07-02,27,2001,8,229,54,2.6,-2.5,1.3,0,-2.2,1.1,3.9,-2.5,-1.1,0.3,0.1,0.1
Aaron Voros,AARON.VOROS,8469672,09-10,NYR,L,L,1981-07-02,28,2001,8,229,41,-0.3,-0.6,0,0,-1,-0.1,-0.2,-0.6,-1.1,-1.9,-0.3,-0.7
Aaron Voros,AARON.VOROS,8469672,10-11,ANA,L,L,1981-07-02,29,2001,8,229,12,0.3,0,0,0,-0.6,0.5,0.3,0,0,0.2,0,0.1
Aaron Ward,AARON.WARD,8458519,07-08,BOS,D,R,1973-01-17,34,1991,1,5,64,6.1,0.9,-0.6,-1.6,-0.1,-0.4,5.5,-0.6,-0.5,4.4,0.8,1.5
Aaron Ward,AARON.WARD,8458519,08-09,BOS,D,R,1973-01-17,35,1991,1,5,64,-1,1.5,-0.2,-1,-0.3,-0.7,-1.2,0.5,-1,-1.7,-0.3,-0.6
Aaron Ward,AARON.WARD,8458519,09-10,ANA/CAR,D,R,1973-01-17,36,1991,1,5,76,-2,-2.9,-0.2,-0.7,-1.6,-0.1,-2.2,-3.6,-1.7,-7.5,-1.4,-2.6
Adam Almquist,ADAM.ALMQUIST,8475332,13-14,DET,D,L,1991-02-27,22,2009,7,209,2,0.2,-0.1,0,0,0.1,0,0.2,-0.1,0,0.2,0,0.1
Adam Beckman,ADAM.BECKMAN,8481550,21-22,MIN,L,L,2001-05-10,20,2019,3,75,3,0.1,-0.1,0,0,-0.3,-0.1,0.1,-0.1,-0.4,-0.4,-0.1,-0.1
Adam Berti,ADAM.BERTI,8471281,07-08,CHI,L,L,1986-07-01,21,2004,3,68,2,0,0.1,0,0,0.1,-0.1,0,0.1,0,0.1,0,0
Adam Boqvist,ADAM.BOQVIST,8480871,19-20,CHI,D,R,2000-08-15,19,2018,1,8,41,5.9,-2.8,-0.4,0,0.9,0.8,5.5,-2.8,1.6,4.3,0.8,1.5
Adam Boqvist,ADAM.BOQVIST,8480871,20-21,CHI,D,R,2000-08-15,20,2018,1,8,35,0.9,-0.4,-0.1,0.1,-0.2,1.7,0.8,-0.3,1.5,2,0.4,0.7
Adam Boqvist,ADAM.BOQVIST,8480871,21-22,CBJ,D,R,2000-08-15,21,2018,1,8,40,8.8,-3.6,1.4,0,0.5,0.2,10.1,-3.6,0.8,7.3,1.3,2.5
Adam Brooks,ADAM.BROOKS,8478996,19-20,TOR,C,L,1996-05-06,23,2016,4,92,7,0.3,0.1,0,0,0.1,0.1,0.3,0.2,0.2,0.6,0.1,0.2
Adam Brooks,ADAM.BROOKS,8478996,20-21,TOR,C,L,1996-05-06,24,2016,4,92,11,-0.8,0.9,0.1,0.1,0.3,0,-0.8,1,0.2,0.4,0.1,0.1
Adam Brooks,ADAM.BROOKS,8478996,21-22,MTL/VGK/WPG,C,L,1996-05-06,25,2016,4,92,15,0.6,-0.1,0,0,0.2,-0.1,0.6,-0.1,0,0.5,0.1,0.2
Adam Burish,ADAM.BURISH,8470063,07-08,CHI,R,R,1983-01-06,24,2002,9,282,80,-3.1,0.4,0,-2.1,0,1.3,-3.2,-1.7,1.3,-3.5,-0.6,-1.2
Adam Burish,ADAM.BURISH,8470063,08-09,CHI,R,R,1983-01-06,25,2002,9,282,66,1.3,1.4,0,2.5,-0.2,0.3,1.3,3.9,0.1,5.3,1,1.9
Adam Burish,ADAM.BURISH,8470063,09-10,CHI,R,R,1983-01-06,26,2002,9,282,13,0.3,-0.9,0,0,0.2,0.2,0.3,-0.8,0.4,-0.2,0,-0.1
Adam Burish,ADAM.BURISH,8470063,10-11,DAL,R,R,1983-01-06,27,2002,9,282,63,0,2,0,-0.5,-0.9,-0.2,-0.1,1.5,-1.1,0.4,0.1,0.1
Adam Burish,ADAM.BURISH,8470063,11-12,DAL,R,R,1983-01-06,28,2002,9,282,65,-2.2,1.6,0.3,-1.4,-0.6,0.1,-1.9,0.2,-0.5,-2.1,-0.4,-0.7
Adam Burish,ADAM.BURISH,8470063,12-13,S.J,R,R,1983-01-06,29,2002,9,282,46,-4,-1.9,0,-0.3,-0.4,2.3,-4,-2.1,1.9,-4.2,-0.8,-1.5
Adam Burish,ADAM.BURISH,8470063,13-14,S.J,R,R,1983-01-06,30,2002,9,282,15,0.4,0.7,0,-0.3,-0.2,-0.2,0.4,0.5,-0.4,0.5,0.1,0.2
Adam Burish,ADAM.BURISH,8470063,14-15,S.J,R,R,1983-01-06,31,2002,9,282,20,-0.9,-2.2,0,-0.4,-0.9,0.4,-0.9,-2.6,-0.4,-3.9,-0.7,-1.4
